log_id,worker_id,expected_paise,paid_paise,discrepancy_paise,needs_manual_review,review_reason,confidence
L00123,W0094,176000,416000,-176000,True,UNDERPAID,0.75
L00141,W0106,147000,315000,0,False,,1.0
L00106,W0088,338000,608000,0,False,,1.0
L00076,W0068,189000,189000,0,False,,1.0
L00166,W0129,247682,517682,-198,True,UNDERPAID,0.75
L00063,W0056,382780,382780,0,False,,1.0
L00188,W0148,176000,176000,0,False,,1.0
L00159,W0122,292714,292714,-315231,True,UNDERPAID,0.75
L00158,W0122,315231,292714,-315231,True,UNDERPAID,0.75
L00009,W0008,390000,660000,0,False,,1.0
L00039,W0035,327000,707000,0,False,,1.0
L00115,W0091,182000,588000,0,False,,1.0
L00072,W0065,270198,585429,0,False,,1.0
L00071,W0064,292500,292500,0,False,,1.0
L00048,W0044,433500,433500,0,False,,1.0
L00055,W0049,387000,666500,0,False,,1.0
L00091,W0081,408000,880000,0,False,,1.0
L00045,W0041,292714,292714,0,False,,1.0
L00110,W0090,210000,637000,0,False,,1.0
L00175,W0135,192000,402000,0,False,,1.0
L00098,W0084,383500,715000,0,False,,1.0
L00008,W0007,255000,255000,0,False,,1.0
L00128,W0096,210000,378000,-196000,True,UNDERPAID,0.75
